granular_cell_type	NE1	NE12	NE13	NE14	NE15	NE16	NE17	NE19	NE2	NE25	NE3	NE4	NE42	NE5	NE6	NE7	NE9	NF12	NF18	NF2	NF35	NF39	NF4	NF46	NF50	NF52	NF53	NF54	NF6	NF61	NF65	NP1	NP13	NP15	NP16	NP2	NP6	NP7	NP8	NP9	NT1	NT10	NT11	NT13	NT16	NT17	NT18	NT2	NT21	NT22	NT23	NT24	NT25	NT27	NT5	NT6	NT8	PS1	PS10	PS11	PS12	PS13	PS2	PS3	PS4	PS5	PS6	PS7	PS8	PS9
post-capillary-venule.ECs	1.87	1	1.24	0.75	0.55	0.97	0.96	0.69	1.25	0.7	1.25	0.71	1.76	1.57	2.49	1.48	0.56	0.93	0.79	0.74	1.65	1.34	1.78	0.53	0.47	1.19	0.57	0.61	0.7	0.85	0.97	0.54	2	1.48	2.21	3.81	0.65	2.3	1.37	3.43	1	0.8	1.53	5.43	0.98	1.34	0.74	0.29	1.55	1.5	0.31	0.33	1.17	2.21	1.95	0.76	1.16	2.6	2.67	1.92	1.37	1.76	2.91	2.49	0.58	2.72	2.73	0.62	1.44	2.46
Pro-inflammatory.Fb	3	1.13	0.52	3.04	0.47	1.28	1.93	1.3	0.71	0.86	1.48	0.57	1.73	1.99	1.2	2.45	1.76	0.68	0.63	1.31	1.29	1.2	3.51	0.32	1.17	0.63	0.94	0.97	0.39	1.54	1.8	0.56	3.8	1.66	0.47	4.29	0.17	4.72	0.2	0.91	1.16	1.35	1.79	2.61	0.37	0.72	0.45	0.8	0.99	2.71	0.12	0.18	2.28	2.67	2.49	1.17	0.08	0.28	3.12	2.24	1.04	1.7	1.64	0.34	3.14	1.06	1.69	0.21	0.48	2.56
Progenitor.Mel	0	0	0	0	0.23	0	0	0	0	0	0	0	0	0	0	7.31	0	61.42	0	14.61	0	0.23	0.46	0	0.23	0	0	0.23	0	0	0	0	0	0.46	0	0	0	10.5	0	0	0	0	0	0	0	0	0	0	0	0	0.23	0	0	0	3.88	0	0	0	0	0	0	0	0.23	0	0	0	0	0	0	0
Proliferating.Ker	0.82	1.97	2.03	0.58	0.81	1.56	0.64	1.68	0.66	0.47	0.67	0.55	0.87	0.26	0.64	0.34	0.31	3.18	0.63	1.76	0.75	1.74	0.65	2.32	2.58	1.88	2.82	1.07	1.47	2.48	1.98	1.56	1.05	0.14	1.28	0.82	3.24	0.95	1.96	1.02	1.02	1.46	0.82	0.12	2.21	1.34	0.59	1.67	0.63	1.47	1.42	0.9	0.83	1.26	0.71	0.65	1.67	5.4	0.08	0.78	1.23	1.64	4.46	3.73	0.01	0.96	2.05	4.95	3.14	0.6
Regulatory T cells	0.87	0.58	0.43	1.23	0.07	0.72	0	1.01	0.58	1.38	0.43	0.22	1.74	0.29	0.36	0.65	2.1	2.03	7.75	2.61	2.68	1.09	3.77	2.17	3.12	2.03	3.12	1.59	0.8	3.41	5.58	0.14	0.14	0.29	0.72	0.22	0.36	0.22	1.38	0.07	3.26	0.94	1.09	1.16	0.36	1.01	0.58	0.72	0.8	1.16	0.72	1.59	5.36	1.45	1.81	3.04	1.09	0.72	1.09	2.25	2.39	2.46	0.36	0.51	2.83	0.87	0.14	0.51	0	1.74
SCs_1	4.53	0.85	0.61	2.83	0.05	2.69	0.61	0.71	0.43	1.18	3.68	0.43	3.68	0.66	3.07	2.79	0.85	0.09	0.24	0.61	0	0.47	1.28	1.13	0.43	0.19	0.76	2.22	1.37	0.8	2.79	0.28	0.24	0.24	6.38	3.64	2.17	2.55	2.41	0.61	0.66	0.19	1.42	0.14	0.99	0.43	0.05	0.14	0.99	0.8	0.09	0.14	1.51	0.05	3.83	2.08	0.47	0	3.21	3.54	0.52	1.32	0.09	0	4.2	1.42	4.2	0.05	0.09	6.8
SCs_2	5.65	1.06	0.62	1.5	2.21	2.12	0	0.09	0	1.06	2.12	0	3.18	0.8	3.36	2.74	2.03	0.18	1.24	0.35	0.88	0.09	4.42	0.53	0.09	0.27	1.15	0.71	3	0.62	1.94	0	0.18	1.86	2.65	0.88	1.86	3.8	2.56	0.8	3.27	0.44	0.88	0	0.88	0.53	0.35	0.27	0.62	0.53	0.53	0.71	1.15	0.27	1.15	2.03	0.8	0	1.06	5.21	0.8	3.89	0.09	0.09	3.09	3.09	2.74	0.09	0.53	6.36
Sebocyte	0	0	0.49	2.47	2.22	0.99	0	18.27	0.99	0	0	0	0	0	0	0	0	0	1.48	5.68	1.23	2.96	0.25	0.25	6.17	7.9	2.72	0	0.99	13.58	0.49	0	0	0	0	0	0	0	0	0	10.12	0.25	0	0	0	1.48	0	0	0	0.99	0	0	0.25	0.99	0.49	0	0	0.74	0	0	12.84	0	2.22	0	0	0	0	0	0	0.49
Spinous.Ker	0.88	2.78	2.43	0.78	1.09	2.05	0.82	1.44	2.07	1.47	1.38	1.23	1.64	0.37	1.69	0.61	1.13	1.27	0.4	1.36	0.32	1.27	0.62	1.35	1.48	0.85	1.7	1.28	1.25	0.87	0.7	1.09	0.69	0.14	1.27	0.34	2.03	0.72	1.73	0.61	1.36	2.02	1.23	0.41	3.18	2.11	1.33	1.39	1.62	1.4	2.44	2.23	1.23	1.69	0.96	0.98	2.27	4.94	0.08	1.28	1.06	1.54	2.76	3.85	0	0.77	1.36	3.13	3.77	0.37
Spinous.Ker.ADGRL3	0.06	0.48	0.09	1.07	1.05	1.58	0.09	0.71	0.73	0.14	0.12	0.09	2.25	0.2	0.04	0.29	0.4	10.02	3.02	5.21	1.98	6.64	0.6	7.54	10.12	6.22	4.64	2.55	3.19	5.89	3.87	0.01	0.03	0	0.17	0.07	0.02	0.03	0.04	0.04	1.46	1.98	0.42	0.02	2.08	0.66	0.52	0.07	0.73	0.8	2.99	0.49	2.94	0.1	0.43	0.9	0.24	0.45	0.01	0.02	1	0.01	0.25	0.05	0	0.02	0.01	0	0.01	0.02
Sweat_gland_duct_cell	0.59	1.89	2.96	0.83	2.01	1.54	0.12	1.18	2.01	1.18	0.24	1.18	0.95	4.26	3.55	0.59	0.35	0.47	2.84	0	0.12	2.48	0.12	1.42	0.95	0.47	0.35	0.24	2.6	0.59	0.24	0	0.47	12.77	1.77	20.8	0.83	5.79	2.96	0.95	0.95	1.3	0.12	0.12	0.35	0	0.24	0.59	3.9	0.24	1.18	0.12	0	0.95	0.35	1.77	0.12	0.83	0.71	0.59	0.83	0	0	0	0	0.12	0	0	0	0
Transitional.Ker	1.08	3.85	1.06	0.42	0.04	1.38	0.23	1.14	3	1.18	3.41	1.06	1.27	0.08	1.31	0.11	0.83	0.25	1.1	0.72	0.4	3.32	1.31	2.31	1.4	0.53	2.58	3.47	0	0.25	0.76	0.55	1.29	0.17	1.35	0.49	3.45	0.25	1.5	0.85	0.91	0.34	1.59	0.49	8.69	0.78	7.32	1.82	2.64	1.99	1.21	2.48	0.51	5.23	0.51	0.74	0.49	4.17	0.11	0.95	0.97	0.97	0.19	1.76	0.08	0.76	0.36	0.08	2.05	0.06
venule.ECs	1.43	0.61	1.84	0.78	0.86	0.46	3.35	0.72	1.35	0.3	0.65	0.44	0.78	0.71	1.77	0.67	2.45	0.5	1.11	0.61	2.13	0.69	1.29	0.84	0.29	0.49	0.82	0.57	2.06	0.39	0.55	1.65	1.01	6.22	2.33	3.58	0.75	6.93	6.73	5.08	2.82	0.68	0.59	0.78	0.53	1.62	1.7	4.1	0.12	0.42	0.13	1.29	0.8	1.14	1.82	0.83	1.02	3.43	0.66	0.58	1.31	0.72	0.21	0.71	0.38	2.42	1.18	0.47	1.54	0.21
vSMC1	2.31	0.96	0.53	2.02	1.14	0.85	2.11	0.34	1.02	1.05	1.14	1.29	2.09	1.06	1.65	3.35	1.74	0.68	0.43	0.83	2.2	1.01	3.59	0.37	0.24	0.47	0.77	0.83	0.75	0.76	0.47	0.41	3.7	3.21	3.16	3.71	0.23	3	1.01	1.02	1.28	0.7	1.47	0.65	0.05	0.55	0.69	2.11	1.12	0.83	0.03	0.06	1.37	3.96	1	1.22	0	1.37	2.39	1.89	1.49	1.1	1.59	0.98	3.95	1.47	2.17	0.81	1.67	4.55
vSMC2	1.1	0.44	0.68	3.48	0.67	0.67	0.76	0.26	0.3	0.68	1.29	0.66	0.9	2.76	1.4	1.49	0.66	0.05	0.3	0.31	1.06	0.19	3.25	0.55	0.06	0.3	0.48	0.36	0.49	0.14	1.04	0.19	1.7	4.88	3.55	4.54	0.35	2.1	0.22	0.92	1.98	0.71	0.55	0.51	0.4	0.53	0.08	0.3	0.42	0.46	0.01	0.09	0.64	0.66	0.77	0.14	0.03	0.36	4.33	3.71	2.57	2.86	2.3	0.5	4.54	4.35	5.51	1.02	2.53	11.92
